common name,Variety,farmos_name,botanical name,crop_family,origin,description,lifespan years,"life cycle
years",maturity_days,strata,succession stage,plant_functions,harvest_days,germination_time,transplant_days,source,growing process: cutting/ seedling/ …,seeding/ planting date,"planted POTS
nb","Viable plants
NB","SUCCESS RATE
%","not ready to transplant
nRTT-Nb",SHELVES,FLOOR,"Ready to transplant
RTT Nb","WHERE
to transplant",HOW MANY,WHEN,"WHERE
to transplant.1",HOW MANY.1,WHEN.1,"RTT
LEFT",TO DO,WHEN.2,Unnamed: 35,NURSERY LOCATION NOMENCLATURA,Unnamed: 37,Unnamed: 38,Unnamed: 39
Achiote,,Achiote,Bixa orellana,Bixaceae,Central/South America,Tropical shrub to 6m producing red seed pods yielding annatto - natural food coloring used worldwide. Pink flowers. Seeds also medicinal. Frost sensitive.,20-30,Oct-20,,medium,secondary,"edible_seed,medicinal,ornamental",,,,Daleys Fruit Nursery,seedling,bought 02/2026,2,2,,,GR,GR,2,"P2R2, P2R4",5,Mar-26,,,,,,,,SHELVES,Nursery Shelves Number,OR,other location in the nursery
Black She-oak -Allocasuarina,,Black She-oak,Allocasuarina littoralis,Casuarinaceae,Native to NSW,Australian native nitrogen-fixing tree to 8m. Excellent pioneer for poor soils. Fixes nitrogen via Frankia bacteria. Fine needle-like foliage provides light shade. Fire-resistant. Important habitat for Black Cockatoos.,50-100,Oct-20,,high,pioneer,"nitrogen_fixer,native_habitat,erosion_control,windbreak",,,,Minimbah,seedling,27/01/2026,1T,6,,6,II,1,0,,,,,,,,,,,FLOOR,Nursery Shelves Floor Number,,other location in the nursery
Black She-oak -Allocasuarina,,Black She-oak,Allocasuarina littoralis,Casuarinaceae,Native to NSW,Australian native nitrogen-fixing tree to 8m. Excellent pioneer for poor soils. Fixes nitrogen via Frankia bacteria. Fine needle-like foliage provides light shade. Fire-resistant. Important habitat for Black Cockatoos.,50-100,Oct-20,,high,pioneer,"nitrogen_fixer,native_habitat,erosion_control,windbreak",,,,Minimbah,seedling,28/01/2026,5,5,,5,II,1,0,,,,,,,,,,,GL,GROUND LEFT,,
Aloe Vera,,Aloe Vera,Aloe barbadensis Miller / Aloe vera (L.) Burm. f.,Asphodelaceae (formerly Liliaceae),Arabian Peninsula / Africa,Succulent perennial with thick fleshy leaves containing medicinal gel.,Oct-25,03-Oct,,Low,Secondary,"Medicinal, Ornamental",,,,Minimbah,given plant,15/01/2025,1,1,,1,behind nursery,behind nursery,0,,,,,,,,,,,GR,GROUND RIGHT,,
Aloe Vera,,Aloe Vera,Aloe barbadensis Miller / Aloe vera (L.) Burm. f.,Asphodelaceae (formerly Liliaceae),Arabian Peninsula / Africa,Succulent perennial with thick fleshy leaves containing medicinal gel.,Oct-25,03-Oct,,Low,Secondary,"Medicinal, Ornamental",,,,FFC,plant,06/03/2026,15,15,,15,GR,GR,0,,,,,,,,,,,GR,GROUND RIGHT,,
Apple,,Apple,Malus domestica,Rosaceae,Central Asia (Kazakhstan),Deciduous fruit tree. Seedlings variable - may take 5-10 years to fruit. Good for wildlife and biomass in syntropic systems.,50-100,20,,medium-high,secondary,edible_fruit,,,,FFC,cutting,15/02/2026,16,10,,10,GL,GL,0,,,,,,,,,,,Strawberries,in Paddock 1 next to the Herb Spiral,,
Apple,,Apple,Malus domestica,Rosaceae,Central Asia (Kazakhstan),Deciduous fruit tree. Seedlings variable - may take 5-10 years to fruit. Good for wildlife and biomass in syntropic systems.,50-100,20,,medium-high,secondary,edible_fruit,,,,FFC,cutting,15/02/2026,9,17,,27,outside,outside,0,,,,,,,,,,,behind nursery,oustside nursery on compostlandia side,,
Apple,,Apple,Malus domestica,Rosaceae,Central Asia (Kazakhstan),Deciduous fruit tree. Seedlings variable - may take 5-10 years to fruit. Good for wildlife and biomass in syntropic systems.,50-100,20,,medium-high,secondary,edible_fruit,,,,Daleys Fruit Nursery,grafted,Bought 02/2026,1,1,,,outside,front nursery,1,P2R3,,Mar-26,,,,,,,,Hill Behind Nursery,Pile behind nursery,,
Avocado,,Avocado,Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,20,,high,secondary to climax,edible_fruit,,,,supermarket,seedling,Oct-25,1,3,,,GR,GR,3,P2R4,2,Mar-26,,,,,,,,Front toolshed,,,
Avocado,,Avocado,Persea americana,Lauraceae,Central America (Mexico),Subtropical fruit tree with rich creamy flesh. Requires well-drained soil - will not tolerate wet feet. Plant A and B types together for better pollination and heavier crops.,200-400,20,,high,secondary to climax,edible_fruit,,,,supermarket,seedling,04/02/2026,7,0,,0,I,3,0,,,,,,,,,,,,,,
