common_name,variety,farmos_name,botanical_name,crop_family,origin,description,lifespan_years,lifecycle_years,maturity_days,strata,succession_stage,plant_functions,harvest_days,germination_time,transplant_days,source
Acerola,,Acerola,Malpighia emarginata,Malpighiaceae,Central America/Caribbean,Tropical shrub to 5m producing bright red cherry-like fruits extremely high in Vitamin C (50-100x orange). Fruits within 2-3 years. Needs frost-free position. Beautiful pink flowers.,15-25,10-20,10,medium,secondary,"edible_fruit,medicinal",,,,Daleys Fruit Nursery (bought plant)
Achiote,,Achiote,Bixa orellana,Bixaceae,Central/South America,Tropical shrub to 6m producing red seed pods yielding annatto - natural food coloring used worldwide. Pink flowers. Seeds also medicinal. Frost sensitive.,20-30,10-20,8,medium,secondary,"edible_seed,medicinal,ornamental",,,,Daleys Fruit Nursery (bought plant)
Aloe Vera,,Aloe Vera,Aloe barbadensis,Asphodelaceae,Arabian Peninsula,"Succulent perennial with thick fleshy leaves containing medicinal gel. Drought tolerant, prefers well-drained soil. Used topically for burns and skin care.",10-25,3-10,3,low,secondary,"medicinal,ornamental",,,,Various
Amaranth,,Amaranth,Amaranthus spp.,Amaranthaceae,Central/South America,"Dual-purpose plant - leaves eaten as greens, seeds as grain. Chinese Spinach varieties grown for leaves. Heat loving and drought tolerant. Self-seeds readily.",1,0.5,0.5,low,secondary,"edible_greens,edible_seed",40-50,7-14 days,,Greenpatch Organic Seeds
Amaranthus,Calaloo,Amaranth (Calaloo),Amaranthus spp.,Amaranthaceae,Central/South America,"Dual-purpose plant - leaves eaten as greens, seeds as grain. Chinese Spinach varieties grown for leaves. Heat loving and drought tolerant. Self-seeds readily.",1,0.5,0.5,low,secondary,"edible_greens,edible_seed",40-50,7-14 days,,Johnsons
Amla,,Amla,Phyllanthus emblica,Phyllanthaceae,South Asia (India),Indian Gooseberry tree to 10m. Fruits extremely high in Vitamin C - sacred in Ayurvedic medicine. Deciduous. Drought tolerant once established. Frost sensitive when young.,50-100,10-20,15,high,secondary,"edible_fruit,medicinal",,,,Daleys Fruit Nursery (bought plant)
Apple,,Apple,Malus domestica,Rosaceae,Central Asia (Kazakhstan),Deciduous fruit tree. Seedlings variable - may take 5-10 years to fruit. Good for wildlife and biomass in syntropic systems.,50-100,10-20,20,medium,secondary,edible_fruit,,,,Daleys Fruit Nursery (bought plant)
Apricot,,Apricot,Prunus armeniaca,Rosaceae,Central Asia / China,"Deciduous stone fruit tree, 4-8m tall. Early flowering, produces sweet orange fruit in summer. Varieties like Bentley suited to warmer climates. In syntropic systems occupies high strata with seasonal canopy. Requires good drainage and benefits from wind protection.",20-30,3-10,1,high,secondary,"edible_fruit,canopy_cover,deciduous_light",100-150,21-60 days,365,Supermarket SEEDS/STONES
Arrowroot,,Arrowroot,Canna edulis,Cannaceae,South America (Andes/Peru),"Edible canna producing large starchy rhizomes. Fast-growing to 2m with banana-like leaves and red flowers. Rhizomes used as potato substitute or processed into gluten-free arrowroot flour. Leaves edible and useful as mulch or animal fodder. Frost tender, dies back in winter.",2,3-10,8,medium,pioneer,"edible_root,biomass_producer,animal_fodder,mulch_plant",,,,Minimbah Permaculture Farm (given plant)
Australian Climbing Bluebell,,Australian Climbing Bluebell,Billardiera fusiformis,Pittosporaceae,Native to Eastern Australia,Native Australian twining climber with blue bell-shaped flowers. Purple edible berry fruit. Frost tolerant groundcover or climber.,5-10,3-10,5,low,secondary,"edible_fruit,native_habitat,ornamental",,21-90 days,,Mr Fothergill's
